Cellulose,Hemicellulose,Lignin,Size,Temp,Time,SL_ratio,HBA_HBD_ratio,MW,pKa,HBD_count,HBA_count,viscosity,biomass_enc,hbd_enc,LRY
36.53,21.47,21.5,0.83,80,12.0,0.05,0.2,90.08,3.86,2.0,3.0,10.0,42.20921052631579,52.767703761755484,62.25
36.53,21.47,21.5,0.83,80,12.0,0.05,1.0,104.06,2.83,2.0,4.0,10.0,42.20921052631579,41.49571428571428,45.95
31.87,19.57,22.73,0.83,80,12.0,0.05,0.5,92.09,14.4,3.0,3.0,50.0,41.25558823529412,34.32525739644971,52.42
31.87,19.57,22.73,0.83,80,12.0,0.05,0.2,90.08,3.86,2.0,3.0,10.0,41.18,52.52197783251232,73.35
31.87,19.57,22.73,0.83,80,12.0,0.05,1.0,104.06,2.83,2.0,4.0,10.0,41.96,40.361428571428576,48.32
36.07,18.3,21.83,0.83,80,12.0,0.05,0.5,92.09,14.4,3.0,3.0,50.0,41.96,33.77110868888197,49.89
36.07,18.3,21.83,0.83,80,12.0,0.05,0.2,90.08,3.86,2.0,3.0,10.0,40.223243243243246,51.86124521072797,65.35
36.07,18.3,21.83,0.83,80,12.0,0.05,1.0,104.06,2.83,2.0,4.0,10.0,42.20921052631579,41.49571428571428,42.34
33.17,17.4,21.97,0.83,80,12.0,0.05,0.5,92.09,14.4,3.0,3.0,50.0,40.223243243243246,34.80214990138067,69.68
33.17,17.4,21.97,0.83,80,12.0,0.05,0.2,90.08,3.86,2.0,3.0,10.0,41.25558823529412,53.016349206349204,74.1
33.17,17.4,21.97,0.83,80,12.0,0.05,1.0,104.06,2.83,2.0,4.0,10.0,41.96,40.361428571428576,47.91
39.97,23.2,25.5,0.83,80,12.0,0.05,0.2,90.08,3.86,2.0,3.0,10.0,41.25558823529412,53.016349206349204,81.63
39.97,23.2,25.5,0.83,80,12.0,0.05,1.0,104.06,2.83,2.0,4.0,10.0,41.18,37.49285714285714,59.81
43.0,26.8,25.9,0.425,80,12.0,0.1,0.5,62.07,15.1,2.0,2.0,10.0,41.25558823529412,26.8625,13.5
